,full_text,user_id_str,image_url,location
70,@FirzaHusainID Menurut saya  belajar tatap muka segera dilaksanakan  cuma waktunya atau cara pertemuannya diatur dengan baik  sesuai PROKES VIRUS COVID-19. Belajar DARING  belajarnya asal tanpa telaah dahulu langsung tanya ke google. oke selamat pagi 🙏🏽,1433783018720686087,,🏡 SAMARINDA KALTIM
71,@doyifting Emmm aku dari tahun 2019 gara-gara covid dan belajar daring jadi gabut  terus gk sengaja liat idol k-pop ehhh gk taunya nge stan sampek sekarang hehehe😁,1462648872572837893,,jawa Timur Indonesia
72,"Seneng banget dibolehin ikut bimbel yang harganya ga murah. Mulai lah aing bimbel dengan segela cobaannya mulai dari covid  belajar daring  dan males. Setiap to aing selalu pd sama nilai makannya pas utbk kaya biasa aja gara-gara masih nyimpen pola pikir inimah cuma coba-coba"".""",561904761,,
73,[BELAJAR DI RUMAH DAPAT ILMU APA?]  Mau masuk kuliah tapi COVID masih merajarela?! Belajar daring malah ketiduran? Atau malah skip kelas ? Perjuangan sudah di ujung mata  penentuan gerbang utama masa depan  IMPIAN KULIAH DIMANA???,1247519502880747521,,
74,@Dennysiregar7 Yg ada siswa lebih sering maen game online ketimbang belajar  belajar dr covid ketika siswa belajar daring  siswa cenderung jdi lebih sering main hp bukan belajar tp malah bnyak main game online mlah tugas²nya gak dikerjakan,1728747318898544640,,
75,@loveliestpjh aku dulu pas masi covid jadi belajar akutansi daring  kalo dipanggil terus ditanyain aku menghilang 😭,1545198329121755136,,♡?
76,Sebenarnya ngajar di sekolah yang satu kelasnya 40 siswa  kelas 12 yg sudah 2 tahun terdampak covid/belajar daring benar-benar menguras energi Pulang sekolah itu rasanya sudah lemas kali  tapi tetap harus mengumpulkan sisa semangat untuk ngajar bimbel,1281651688730836994,,"Pekanbaru, Riau"
77,"@OposisiCerdas Mahasiswa mana mahasiswa mana... Lelap dalam skenario covid  dikebiri dengan belajar daring. ....dan kalah sama anak paud  TK SD yg berani PTM"" 😂😂😂""",1253129670490337280,,"Jawa Tengah, Indonesia"
78,Beredar kabar menyebut puluhan siswa SMA di Mandailing Natal  Sumatera Utara  menikah massal akibat kelamaan belajar daring karena pandemi COVID-19. #kumparanNews https://t.co/DI1pEG9HEA,759692754985242625,,
79,Ujian lagi di saat itu anak pertama harus masuk SMK swasta yang lumayan  adiknya masuk SMP  dan anak ketiga masuk SD  plus pandemi Covid 19 anak2 harus belajar daring/online  jadi butuh masing-masing gadget. GUBRAK! #WiFiRumah #PaketInternetCepat,477522679,,Depok
80,@collegemenfess Di kopian  nugas bareng sama temen cewek satu orang. Tiba² nangis kejer karena ada pengumuman Covid belajar daring.  Kalo inget itu  malu bet. Untung pas nongkrong dia ga pernah ngungkit-ngungkit 🙂,1536426936867893248,,
81,@bukalapak @masmasjawabgt Aku harus dapet HP ini karena sekarang lagi musim covid belajar harus daring dari rumah. Berhubung aku seorang guru jadi hp ini sangat dibutuhkan sekai buat ngajar online. Hp lamaku sudah soak batereinya dan perlu ganti baru karena nggak bisa dipake kecuali dicolok kelistrik.,832921919884111873,,"Kota Palembang, Sumatera Selat"
82,"@tanyakanrl pernah sih  tpi itu jaman covid baru belajar daring  nah kuliah nya abis shalat subuh pas bulan puasa yg biasa abis sahur trus shalat subuh gua langsung molor  eh lnjut kliah wkwk""",1256120386799853569,,"Seoul, Republic of Korea"
83,@tanyarlfes Baru punya hp vivo y91c taun 2019 awal covid buat belajar daring (ortu maksain beli sih wkwk)  sampe skrg udh kuliah hp blm diganti. Agak rudet sama penyimpanan trs suka ngelag lamaaa bgttt  tapi gpp org² ngiranya aku pake ip xr wkwk,1272997901132681216,,
84,@kegblgnunfaedh kalo ga mau diajarin lebih baik ibu nya suruh ngajar anaknya aja sendiri. coba deh flashback ketika waktu covid  19. disaat belajar daring ...pada posting susahnya ngajarin anak . seharusnya itu jadi pelajaran buat ibu. jangan titel aja ditinggiin.,1138349355784556544,,
85,@convomfs Ngerusak real life kita  dulu aku main rp pas masih jaman covid  disitu aku belajar daring. Gara gara rp nilai rapotku semenjak itu jelek banget  banyak tugas yg gk keurus  pas udh mau lulus nyesel bgt nilai aku ternyata kebanyakan diambil dari masa² daring,1529857315221884929,,6reezenation
86,Berbagai kebijakan ditempuh untuk menekan angka kasus COVID-19  mulai dari Belajar Daring  membatasi izin keramaian  hingga mempersiapkan jatah sembako bagi pasien isolasi mandiri. #publisherstory https://t.co/MdDhgWT9tD,759692754985242625,,
87,@MursidTri @kikysaputrii Lupa kali dulu awal covid  siapa yang ambil peran paling duluan  saya guru  saya gak tau kalo gak ada keputusan untuk belajar daring. Duhhh banyak kali dari siswa siswa saya jadi korban.,2208141222,,
